RANK,ICON,NAME,SYMBOL,AMOUNT,24H VOLUME,24H CHANGE,1H CHANGE,7D CHANGE,PRICE IN BTC,MARKET CAP,AVG BUY,AVG SELL,PRICE,TOTAL,24H PROFIT,24H PROFIT PERCENT,ALL TIME PROFIT,ALL TIME PERCENT,LAST TRADE PROFIT,LAST TRADE PERCENT,CURRENT HOLDINGS PROFIT,CURRENT HOLDINGS PERCENT
1,https://static.coinstats.app/coins/1650455588819.png,Bitcoin,BTC,73624.22853068,49730659549.14651,0.55,0.59,22.71,1,1551207615233.5618,64903.93467809085,70430.89363191734,77284.020831586,5689976411.474523,0.55,31123689.968284473,18.198683219,948278464.3267078,0.208220359,432.771069713,18.962845042,906990253.5230331
449,https://static.coinstats.app/coins/dog-go-to-the-moon-runeTbB.png,Dog (Bitcoin),DOG,2669418,1227966,5.4,0.8,24,9.758555883531951e-9,75441357,0.0006343905695349796,0,0.000754203,2013.283063854,5.4,103.14737282,18.88627478,319.830301181,18.88627478,319.830301181,18.88627478,319.830301181
3815,https://static.coinstats.app/coins/lobo-the-wolf-pup-runesNEB.png,LOBO•THE•WOLF•PUP,LOBO,311805,10859,-2.5,,12.9,4.909356690339914e-10,796795,0.000049039949328185496,0,0.000037943,11.830817115,-2.5,-0.30335135482546866,-22.629133963413018,-3.460198562081599,-22.629133963413018,-3.460198562081599,-22.629133963413018,-3.460198562081599
2460,https://static.coinstats.app/coins/uncommon-goodsm5U.png,UNCOMMON•GOODS,UNCOMMONGOODS,535,11223,3.2,0.3,30.4,2.672824987684729e-7,2895194,0.021620516643971573,0,0.020657293,11.051651755,3.2,0.342686874,-4.455137673672029,-0.5153247235027383,-4.455137673672029,-0.5153247235027383,-4.455137673672029,-0.5153247235027383
5585,https://static.coinstats.app/coins/decentralized-runes309.png,DECENTRALIZED (Runes),DEC,910000,0.532378,9.3,,9.3,1.3516123632225798e-10,219369,0.000009355649727199303,0,0.000010446,9.50586,9.3,0.808833664,11.655748145,0.992328582,11.655748145,0.992328582,11.655748145,0.992328582
8410,https://static.coinstats.app/coins/M1NEtUMtvTcZ5K8Ym6fY4DZLdKtBFeh8qWWpsPZiu5S_solanasTE.png,RuneMine,MINE,3000,615.9,-22.2,-1,-17.8,1.1847637511889688e-9,45783,0.00010919847205649996,0,0.000091566,0.274698,-22.2,-0.07838433426654189,-16.147101283751706,-0.05289716364981706,-16.147101283751706,-0.05289716364981706,-16.147101283751706,-0.05289716364981706
,, ᛤ-, ᛤ-,21,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 👹-, 👹-,10666667,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🔳-, 🔳-,1000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, byblt-, byblt-,990000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, ⧉-, ⧉-,10,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🌹-, 🌹-,50000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, Ʉ-, Ʉ-,40000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🙀-, 🙀-,625000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🥋-, 🥋-,9500,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🧠-, 🧠-,15000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🐯-, 🐯-,25000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🗽-, 🗽-,62500,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 💥-, 💥-,7000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, ▣-, ▣-,13750000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🔮-, 🔮-,215896,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🦘-, 🦘-,5325000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🥜-, 🥜-,1000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, ℙ-, ℙ-,69420,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🦄-, 🦄-,75000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 😽-, 😽-,50000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, ♾-, ♾-,1e+26,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🫡-, 🫡-,1e+28,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🪄-, 🪄-,136513651,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🍕-, 🍕-,10,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🦅-, 🦅-,23000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 𓂀-, 𓂀-,125000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 4-, 4-,10000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 𓃠-, 𓃠-,2800000000000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🎁-, 🎁-,50000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🐭-, 🐭-,2000000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 💓-, 💓-,40000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🟠-, 🟠-,4200,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🐵-, 🐵-,100000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, ❤-, ❤-,60000000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🍟-, 🍟-,470000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🛢-, 🛢-,525000000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🍗-, 🍗-,156250,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🦝-, 🦝-,440000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 🦴-, 🦴-,666000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,, 💦-, 💦-,793500,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
