Portfolio,Coin Name,Coin Symbol,Exchange,Pair,Type,Amount,Price,Price USD,Fee Percent,Fee Amount,Fee Currency,Date,Notes
Bitcoin,Bitcoin,BTC,,,Received,2.69493733,,77123.43414005359,,,,\"8/22/2026, 5:50:04 AM\",
Bitcoin,Bitcoin,BTC,,,Received,0.56786882,,78519.15229503965,,,,\"8/22/2026, 5:11:08 AM\",
Bitcoin,Bitcoin,BTC,,,Received,4.63959489,,78730.22175805224,,,,\"8/22/2026, 4:42:29 AM\",
Bitcoin,Bitcoin,BTC,,,Received,1.09001651,,78730.22175805224,,,,\"8/22/2026, 4:36:28 AM\",
Bitcoin,Bitcoin,BTC,,,Received,3.88528206,,78359.26179999762,,,,\"8/22/2026, 4:20:51 AM\",
Bitcoin,Bitcoin,BTC,,,Received,10.28097026,,78359.26179999762,,,,\"8/22/2026, 4:19:03 AM\",
Bitcoin,Bitcoin,BTC,,,Received,0.55043665,,77900.06331222711,,,,\"8/22/2026, 12:10:42 AM\",
Bitcoin,Bitcoin,BTC,,,Received,0.00008,,77068.96266666384,,,,\"8/21/2026, 8:10:39 PM\",
Bitcoin,Bitcoin,BTC,,,Received,0.00008,,77120.25515159272,,,,\"8/21/2026, 8:00:25 PM\",
Bitcoin,Bitcoin,BTC,,,Received,4.18984335,,76781.40950442708,,,,\"8/21/2026, 12:06:06 PM\",
Bitcoin,Bitcoin,BTC,,,Sent,219.99999900000003,,71685.31284130263,,0.00032548,BTC,\"8/20/2026, 12:54:32 PM\",
Bitcoin,Bitcoin,BTC,,,Received,0.00005561,,69286.29641395586,,,,\"8/20/2026, 2:55:21 AM\",
Bitcoin,Bitcoin,BTC,,,Received,0.00000546,,68580.10072017953,,,,\"8/19/2026, 4:53:46 PM\",
Bitcoin,Bitcoin,BTC,,,Received,1.47599241,,68300.4775022036,,,,\"8/19/2026, 4:01:53 PM\",
Bitcoin,Bitcoin,BTC,,,Received,1.29230484,,65442.63163746286,,,,\"8/19/2026, 2:54:18 PM\",
Bitcoin,Bitcoin,BTC,,,Sent,109.99999799999999,,65434.41037892283,,0.00032182,BTC,\"8/19/2026, 2:25:04 PM\",
Bitcoin,Bitcoin,BTC,,,Received,0.00000546,,64299.614762522004,,,,\"8/17/2026, 11:10:20 PM\",
Bitcoin,Bitcoin,BTC,,,Received,4.58149625,,63023.34963628781,,,,\"8/15/2026, 2:40:44 PM\",
Bitcoin,Bitcoin,BTC,,,Received,3.30992257,,63060.32252112,,,,\"8/15/2026, 8:19:36 AM\",
Bitcoin,Bitcoin,BTC,,,Received,3.92134053,,63080.56127738,,,,\"8/15/2026, 7:38:44 AM\",
