Chain Name,Hash,Status,Action,Token,Value,From,From Info,To,To Info
Ethereum,0x0x782cd43256a16083490328f800f19a38f9019c9a77230587a319752554a28bc5,Success,Exchange,eth,,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth,0x45312ea0eff7e09c83cbe249fa1d7598c4c8cd4e,Curve Finance: Router v1.2
Ethereum,0x0x782cd43256a16083490328f800f19a38f9019c9a77230587a319752554a28bc5,Success,Exchange,ERC-20: Wrapped Ether,,0x45312ea0eff7e09c83cbe249fa1d7598c4c8cd4e,Curve Finance: Router v1.2,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth
Ethereum,0x0x279945d495ad9220cd7c202ac263c9c77b5b4801fc3aa01ea2ca6618c5f5e9b3,Success,0x174dea71,eth,,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth,0x4cd00e387622c35bddb9b4c962c136462338bc31,Relay: Depository
Ethereum,0x0x820f17d8652628df30e1887d28b4ecb19eb69b3101f0ba83547ef03364e65279,Success,Token Transfer,eth,,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,ENS: Base Registrar Implementation
Ethereum,0x0x820f17d8652628df30e1887d28b4ecb19eb69b3101f0ba83547ef03364e65279,Success,Token Transfer,ERC-721: Ethereum Name Service,,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,Address
Ethereum,0x0x2c10f647795163013607cbb39fb2baaea7b30a96c4a45096640dd59c6eee05cd,Success,Set Name,eth,,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth,0xa58e81fe9b61b5c3fe2afd33cf304c454abfc7cb,ENS: Reverse Registrar
Ethereum,0x0x9f42191a942b65c1a6b9b4a2df7d36ec4837bbf92f33bea2e7bfdc870761b2c4,Success,Set Name,eth,,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth,0x283f227c4bd38ece252c4ae7ece650b0e913f1f9,ENS: Default Reverse Registrar
Ethereum,0x0xf4f24644e4d96cf415bf61a44dfd4de6dc545b4fe8f63ea0a893638d4d97cd98,Success,Register,eth,,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth,0x59e16fccd424cc24e280be16e11bcd56fb0ce547,ENS: ETH Registrar Controller 2
Ethereum,0x0xf4f24644e4d96cf415bf61a44dfd4de6dc545b4fe8f63ea0a893638d4d97cd98,Success,Register,eth,,0x59e16fccd424cc24e280be16e11bcd56fb0ce547,ENS: ETH Registrar Controller 2,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth
Ethereum,0x0xf4f24644e4d96cf415bf61a44dfd4de6dc545b4fe8f63ea0a893638d4d97cd98,Success,Register,ERC-721: Ethereum Name Service,,0x59e16fccd424cc24e280be16e11bcd56fb0ce547,ENS: ETH Registrar Controller 2,0xe5143aa4bd1ec2ca8e234238acc2edb2a1e25fbf,vthayer.eth
