Transaction Hash,Status,Method,Blockno,DateTime (UTC-7),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x4fb25ea7344fb2b0cbcfd53ecc4b35fca35528ac9815c14337b08d7a61dd4e77","Success","Transfer","25485618","2026-07-07 22:00:23","0xe10767c445d3d3633d4884f45e7c73cffc0b4b67","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.0003 ETH","$0.57","0.00004333"
"0x7c33c020d87f826d39e5e06639f32a0b4bfa3e217d41a28a0ee0b1c1154d57ad","Success","Transfer","25485606","2026-07-07 21:57:59","0xe10767c445d3d3633d4884f45e7c73cffc0b4b67","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","1.906 ETH","$3,650.18","0.00004335"
"0xea2cc3ddda11929035b8cd33f76d7c383d60b1bd280a7ef0658ee17e0b53a805","Success","Transfer","25352989","2026-06-19 10:01:59","0x4ffac8b63293599172a5a8c89916916352385620","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.01707 ETH","$32.69","0.00000648"
"0x4c68dc830daa585f7d817490716da523c7c5fe9fa25481efee359d9466376969","Success","Transfer","24959988","2026-04-25 15:24:35","0xf69fec6d858c77e969509843852178bd24cad2b6","https:&amp;amp;amp;#x2F;&amp;amp;amp;#x2F;b","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.054282405 ETH","$103.96","0.0000467"
"0xf51ae75fa2a2cf9fad2fa5b74b6972c3d0d3d6110db458f25c8c9639d1dc5b2f","Success","Transfer","24824149","2026-04-06 17:14:23","0xade45df2f96da794dfe4c319979424a78539d068","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.41965 ETH","$803.67","0.00004293"
"0x153d31c6eb82b88ef7c55920085970227a7ce6b0da1194564f3817da2964962b","Success","Transfer","24824082","2026-04-06 17:00:59","0x5579ed37530391a0aae709a3915cfd21c7e03232","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.027 ETH","$51.71","0.00004277"
"0x7954afaeca7b24e8d6294ab156a8cb84a59d2ed776f88842f029170827a096ac","Success","Transfer","24773275","2026-03-30 15:02:47","0x7552990ae97ba0fd3fb23182faac41204dc3697a","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.000000001 ETH","$0.00","0.00000259"
"0xb6bdad805a348a19350967eee8dcbb906f37ad851327e0b4d21564aca28623e6","Success","Transfer","24773258","2026-03-30 14:59:23","0x75580fd5e74ca80b248e15de8c84d33a0557697a","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.000000001 ETH","$0.00","0.00000301"
"0x2d4d3a3135ea9451684f17017c989670854acea7721d3b4d1cd47fa9789d48b4","Success","Transfer","24773256","2026-03-30 14:58:59","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0x7552f8b8da3e07c50a7466f2db618ae1e909697a","vthayer.base.eth","15 ETH","$28,726.50","0.00004415"
"0x4cb64f9df077c92e025495f3fcbceaf30ee7863262200684223a131dc89786a3","Success","Transfer*","24766324","2026-03-29 15:46:11","0xf70da97812cb96acdf810712aa562db8dfa3dbef","vthayer.eth.io","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","4.998973131 ETH","$9,573.53","0.00000914"
